registrant,notional_usd,cleared_pct,eligible_share,n_funds
TCW Metropolitan West Funds,77468948063,56.26,0.8674,8
Franklin Mutual Series Funds,76842315985,0.04,0.0004,7
"Partners Group Private Equity (Master Fund), LLC",75209096676,1.88,0.0000,25
J.P. Morgan Exchange-Traded Fund Trust,74986981701,82.97,0.8391,56
MFS VARIABLE INSURANCE TRUST II,74966436754,17.78,0.2112,9
THORNBURG INVESTMENT TRUST,74564924609,0.04,0.0004,10
PIMCO High Income Fund,71752338936,86.87,0.8939,27
AIM Investment Securities Funds (Invesco Investment Securiti,71162001666,41.70,0.9783,7
Simplify Exchange Traded Funds,70677170172,87.90,1.0000,20
Fidelity Concord Street Trust,68450040585,83.46,1.0000,21
MORGAN STANLEY INSTITUTIONAL FUND TRUST,67881881689,12.17,0.2155,7
ALLSPRING FUNDS TRUST,67565347109,74.75,0.7912,55
"EMPOWER FUNDS, INC.",66711012973,10.70,0.8934,21
SIX CIRCLES TRUST,65495518851,27.15,0.9992,10
Franklin Templeton Variable Insurance Products Trust,64587372011,5.21,0.0777,7
VANGUARD BOND INDEX FUNDS,64385417747,0.00,0.9809,7
GREAT-WEST FUNDS INC,61876997749,7.87,0.9294,21
Volatility Shares Trust,56366901169,100.00,1.0000,10
VANGUARD WORLD FUND,55763189740,0.00,0.7897,22
PACE SELECT ADVISORS TRUST,55244024875,42.97,0.6853,10
American Century Investment Trust,54636674611,0.00,0.9859,8
Capital Group Fixed Income ETF Trust,54475138865,98.36,0.9851,10
College Retirement Equities Fund,54413615378,85.95,0.8577,6
MFS SERIES TRUST X,54269802076,23.09,0.2482,6
"AllianceBernstein Global High Income Fund, Inc.",54130464919,6.34,0.0874,7
LOOMIS SAYLES FUNDS I,53262261138,93.31,0.9400,9
"THE LAZARD FUNDS, INC.",53109569150,0.18,0.0029,14
TCW METROPOLITAN WEST FUNDS,53096819584,100.00,1.0000,11
"American Century Capital Portfolios, Inc.",52480628680,0.00,0.0028,10
LITMAN GREGORY FUNDS TRUST,52449572657,81.88,0.9798,5
Putnam Master Intermediate Income Trust,52280012942,28.38,0.9701,28
NEUBERGER BERMAN INCOME FUNDS,52245597385,54.53,0.7209,8
COLUMBIA FUNDS SERIES TRUST I,51636557430,38.26,0.8116,13
John Hancock Variable Insurance Trust,50826868938,85.44,0.7941,24
Master Investment Portfolio,50348481297,37.34,0.9871,16
Janus Detroit Street Trust,49719459641,60.00,0.6128,11
Prudential Series Fund,49252820093,85.26,1.0000,9
NORTHWESTERN MUTUAL SERIES FUND INC,48705115791,51.80,0.6039,18
VANGUARD WHITEHALL FUNDS,48568680393,0.00,0.2809,9
TIAA-CREF Funds,47030284276,73.95,0.7388,19
PIMCO Dynamic Income Opportunities Fund,46939170078,66.51,0.6683,22
MASSMUTUAL SELECT FUNDS,46563080622,70.24,0.7624,20
BlackRock Capital Allocation Term Trust,46056775822,57.66,0.8463,13
Legg Mason Partners Income Trust,43840287301,96.20,1.0000,19
Tidal Trust II,43343624031,32.19,1.0000,69
Mercer Funds,42576456925,42.47,0.5480,8
PIMCO Income Strategy Fund II,41401542052,81.70,0.8229,27
BlackRock Capital Allocation Trust,40856133057,39.40,0.7314,12
TCW FUNDS INC,40444094765,72.29,0.8212,11
Columbia Funds Series Trust,39549682968,1.42,0.4382,11
INVESTMENT MANAGERS SERIES TRUST,38225789100,100.00,0.9854,9
VANGUARD MUNICIPAL BOND FUNDS,38135944423,0.00,1.0000,7
PAYDEN & RYGEL INVESTMENT GROUP,37796857107,99.70,1.0000,17
MAINSTAY VP FUNDS TRUST,37763886498,40.37,0.9123,17
Dimensional ETF Trust,36841650207,23.02,0.0523,29
Rydex Series Funds,36626070445,2.20,1.0000,21
Victory Portfolios II,36533139738,99.84,1.0000,29
MORGAN STANLEY PATHWAY FUNDS,36465532491,30.99,0.9868,12
PIMCO Dynamic Credit & Mortgage Income Fund,34053851626,66.29,0.6860,10
RUSSELL INVESTMENT FUNDS,32667868181,65.19,0.7020,9
MFS CHARTER INCOME TRUST,32547428017,2.40,0.0329,26
PGIM ETF Trust,32262333649,98.88,1.0000,13
PIMCO Corporate & Income Strategy Fund,31744503099,80.71,0.8059,27
Artisan Partners Funds Inc.,30813440237,15.36,0.1650,9
Eaton Vance Mutual Funds Trust,30361773275,61.00,0.9504,8
Fidelity Greenwood Street Trust,30353197560,8.52,0.8890,12
BlackRock Core Bond Trust,30321150650,40.19,0.9784,28
BlackRock Funds III,30040663805,62.65,0.7954,12
