counterparty_name,classification,notional_usd_summed,matched_pattern
Raymond James Finance Company of Canada Ltd.,BILATERAL,129312000,
Morgan Stanley Capital Group Inc.,BILATERAL,124451865,
Euronext Paris SA,BILATERAL,121803972,
Banco Santander SA,BILATERAL,120788575,
"BNY MELLON CAPITAL MARKETS, LLC",BILATERAL,118223963,
SOCIETE GENERALE INTERNATIONAL,BILATERAL,118084831,
Masterworks,BILATERAL,118075000,
CITIBANK NA - LONDON,BILATERAL,115892200,
JP Morgan,BILATERAL,112057408,
EURONEXT DERIVATIVES PARIS,BILATERAL,111158806,
NORTHERN TRUST COMPANY,BILATERAL,110936490,
COLLINS STEWART,BILATERAL,104814269,
US BANCORP INVESTMENTS INC.,BILATERAL,104259570,
Credit Agricole Securities (Asia) Limited,BILATERAL,100673529,
"Cargill, Incorporated",BILATERAL,100653387,
SOCIETE' GENERALE,BILATERAL,100527807,
CREDIT AGRICOLE CIB FINANCIAL SOLUTIONS,BILATERAL,99395359,
BNP PARIBAS NY BRANCH,BILATERAL,99071530,
CREDIT SUISSE FIRST BOSTON LLC.-CORP OPE,BILATERAL,98895433,
CITIBANK N.A. NEW YORK,BILATERAL,96032051,
Barclays Bank,BILATERAL,95951865,
CITICORP,BILATERAL,95372884,
EURONEXT PARIS MONEP,BILATERAL,93680592,
Takasbank,BILATERAL,91507861,
Capital Securities Corporation,BILATERAL,91320909,
DANSKE BANK A/S,BILATERAL,87366558,
TD Securities USA LLC,BILATERAL,86691594,
SINGAPORE EXCHANGE (WAS SIMEX),BILATERAL,85581631,
The Montreal Exchange,CCP,84524545,Montreal Exchange
UBS INVESTMENT BANK,BILATERAL,84052038,
Interactive Brokers,BILATERAL,81985900,
"OBERWEIS SECURITIES, INC.",BILATERAL,80858064,
CREDIT AGRICOLE SECURITIES (USA) INC.,BILATERAL,79838117,
Cargill India Private Ltd.,BILATERAL,79322966,
BofA Securities Europe S.A.,BILATERAL,79301584,
NYSE EURONEXT - EURONEXT AMSTERDAM,BILATERAL,77526661,
JPMORGAN CHASE & CO,BILATERAL,76737788,
HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED -THE-,BILATERAL,72821593,
WESTPAC BANKING CORPORATION,BILATERAL,72675043,
Bank of America International (NY),BILATERAL,72668466,
Bursa Malaysia,BILATERAL,71279444,
"Wells Fargo Clearing Services, LLC",BILATERAL,69740000,
The Hongkong and Shanghai Banking Corporation Limited,BILATERAL,69572255,
Options Clearing Corp.,CCP,69469782,Options Clearing Corp
"Nomura Asset Management USA, Inc.",BILATERAL,67770902,
Wells Fargo & Co.,BILATERAL,67000000,
CREDIT SUISSE FIRST BOSTON LLC.,BILATERAL,66905000,
JEFFERIES LLC.,BILATERAL,65359588,
Bank of America Merrill Lynch International Ltd.,BILATERAL,64431017,
CREDIT SUISSE (INDIA) PRIVATE LTD,BILATERAL,61825618,
Lloyds Bank Corporate Markets PLC,BILATERAL,60798969,
EURONEXT AMSTERDAM N.V.,BILATERAL,60374447,
Deutsche Securities Australia Limited,BILATERAL,60000000,
morgan stanley,BILATERAL,60000000,
BANC OF AMERICA LLC,BILATERAL,59471969,
BNP Paribas Financial Markets,BILATERAL,59167425,
"B3 S.A. - BRASIL, BOLSA, BALCAO",CCP,57574894,B3 S.A
WARSAW STOCK EXCHANGE/FINANCIAL DERIVATIV,BILATERAL,55103884,
Aegis Capital Corp.,BILATERAL,53777778,
BORSA ISTANBUL,BILATERAL,52774558,
ANZ Securities,BILATERAL,51165588,
Macquarie Bank Limited,BILATERAL,50565618,
SOCIETE GENERALE SECURITIES CORP,BILATERAL,50000000,
STOCK EXCHANGE OF THAILAND,BILATERAL,49335392,
TOKYO STOCK EXCHANGE,BILATERAL,48495314,
Japan Exchange Group,BILATERAL,47325438,
Goldman Sachs AG,BILATERAL,47271101,
"JP Morgan Securites Japan Co., Ltd.",BILATERAL,47248051,
Commerzbank AG,BILATERAL,46443680,
DEUTSCHE BANK AG NEW YORK,BILATERAL,46423180,
INTERACTIVE BROKERS,BILATERAL,45065000,
Options Clearing,BILATERAL,44361217,
Bursa Malaysia Derivatives Clearing,BILATERAL,43554806,
"Nomura Securities International, Inc.",BILATERAL,43370969,
Asigna Compensacion y Liquidacion,BILATERAL,42492043,
BNP PARIBAS LONDON BRANCH,BILATERAL,42095330,
SYDNEY FUTURES EXCHANGE,BILATERAL,41869573,
BM&FBOVESPA Clearinghouse,CCP,38298573,BM&FBOVESPA
BNP PARIBAS BROKERAGE SERVICES INC.,BILATERAL,36861494,
Northern Trust,BILATERAL,36209470,
Credito Emiliano S.p.A.,BILATERAL,34443662,
CITIBANK N A,BILATERAL,34319542,
Montgomery & Co.,BILATERAL,33900000,
Bank of America Merrill Lynch Banco Multiplo SA,BILATERAL,33645990,
Cargill Incorporated,BILATERAL,33484779,
ROYAL BANK OF CANADA (UK),BILATERAL,33296296,
CREDIT SUISSE AG,BILATERAL,33242191,
London Stock Exchange Group,BILATERAL,32891235,
ASX Ltd.,BILATERAL,32652681,
STANDARD CHARTERED SECURITIES (NORTH AMERICA) LLC,BILATERAL,32507400,
BANC OF AMERICA SECURITIES LLC,BILATERAL,32300000,
BMO Capital Markets Corp.,BILATERAL,31970941,
"Mizuho Capital Markets, LLC",BILATERAL,31560606,
UBS Europe SE,BILATERAL,31307166,
Citibank NA London,BILATERAL,30492886,
The Northern Trust Company,BILATERAL,30375971,
Credit Suisse Capital LLC,BILATERAL,29923077,
"Scotia Capital USA, Inc.",BILATERAL,29581339,
Deutsche Bank Trust Company Americas,BILATERAL,27603327,
"B3 SA - Brasil, Bolsa, Balcao",BILATERAL,27371692,
Banco JP Morgan SA,BILATERAL,27294672,
California Metal-X (CMX),BILATERAL,27147978,
THE STOCK EXCHANGE OF THAILAND,BILATERAL,26765742,
EURONEXT DERIVATIVES AMSTERDAM,BILATERAL,26143838,
BANK OF SHANGHAI (HONG KONG) LIMITED,BILATERAL,26136110,
OMX NORDIC EXCHANGE STOCKHOLM AB,BILATERAL,25110138,
Nomura Asset Management U.S.A. Inc.,BILATERAL,25000000,
Taiwan Futures Exchange,BILATERAL,23314370,
"Nextera Energy, Inc.",BILATERAL,22658545,
TD Ameritrade,BILATERAL,22421457,
Capital One Financial Corporation,BILATERAL,22347034,
OMX NORDIC EXCHANGE STOCKHOLM,BILATERAL,22179430,
DEUTSCHE BANK A. S.,BILATERAL,21860395,
Minneapolis Grain Exchange,CCP,21474413,Minneapolis Grain Exch
CHASE SECURITIES,BILATERAL,21092000,
National Australia Bank,BILATERAL,20859775,
STANDARD BANK (MAURITIUS) LIMITED,BILATERAL,20858041,
Global Partners,BILATERAL,20403484,
Japan Commodity Clearing House,CCP,19726068,Clearing House
BNY MELLON CAPITAL MARKETS LLC,BILATERAL,19687991,
Tokyo Financial Exchange,BILATERAL,19641505,
VIRTU AMERICA,BILATERAL,19557729,
Bolsas y Mercados Espanoles S.A.,BILATERAL,19541402,
Emirates NBD Bank PJSC,BILATERAL,19524505,
Chicago Board Options Exchange,BILATERAL,17864260,
Macquarie Capital (USA) Inc.,BILATERAL,17838128,
"JP Morgan Securities Australia, Ltd.",BILATERAL,17825067,
"Westpac Capital Markets, LLC",BILATERAL,17265033,
RBC DOMINION SECURITIES INC.,BILATERAL,16953054,
SOCIETE GENERALE SECURITIES,BILATERAL,16542184,
SANFORD C. BERNSTEIN & CO. LLC,BILATERAL,16380414,
SK International,BILATERAL,16163786,
Goldman Sachs,BILATERAL,15938544,
Citigroup Global Markets Ltd.,BILATERAL,15600000,
"ICE Futures Canada, Inc.",BILATERAL,15499590,
"WELLS FARGO CLEARING SERVICES, LLC",BILATERAL,15103464,
European Energy Exchange,BILATERAL,15021407,
"BANK OF AMERICA MORTGAGE SECURITIES, INC.",BILATERAL,14850000,
Schwab (Charles),BILATERAL,14340861,
NBC SECURITIES INC.,BILATERAL,14209828,
STATE STREET BROKER GROUP,BILATERAL,13767892,
"CBOE Futures Exchange, LLC",BILATERAL,13059632,
ANZ SECURITIES INC.,BILATERAL,12765212,
Brown Advisory,BILATERAL,12674915,
NASDAQ STOCKHOLM AKTIEBOLAG,BILATERAL,12614683,
Goldman Sachs Mitsui Marine Derivative Products LP,BILATERAL,12500000,
BROWN BROTHERS HARRIMAN & CO.,BILATERAL,12261637,
GOLDMAN SACHS AG,BILATERAL,11932470,
CITADEL SECURITIES,BILATERAL,11890000,
Credit Agricole Securities (USA) Inc.,BILATERAL,11430160,
Northern Trust Corporation,BILATERAL,11311467,
CITIBANK CC ISSUANCE TRUST,BILATERAL,11148722,
BORSA ISTANBUL ANONIM SIRKETI,BILATERAL,10755079,
MORGAN STANLEY & CO INT LTD LONDON,BILATERAL,10645161,
WELLS FARGO SEC LLC,BILATERAL,10306340,
"WELLS FARGO BANK,N.A.",BILATERAL,9930473,
Broadcom Inc.,BILATERAL,9677569,
UBS INVESTMENT BANK CMO,BILATERAL,9631819,
"BGC FINANCIAL, L.P.",BILATERAL,9608034,
Goldman Sachs International Bank,BILATERAL,9556000,
TMX GROUP LIMITED,BILATERAL,8933068,
JEFFERIES GROUP LLC,BILATERAL,8823468,
COWEN INC,BILATERAL,8817015,
JACKSON PARTNERS & ASSOC,BILATERAL,8736984,
SMIFS LIMITED,BILATERAL,8235913,
BARCLAYS US INVESTMENTS LLC,BILATERAL,7973000,
Tower Semiconductor,BILATERAL,7935980,
SOUTH AFRICAN FUTURES EXCHANGE,BILATERAL,7704801,
GOLDMAN SACHS INT LONDON,BILATERAL,7340000,
ICBC Standard Bank Plc,BILATERAL,7200000,
MONTREAL STOCK EXCHANGE,BILATERAL,7178648,
"Mizuho Securities Co., Ltd.",BILATERAL,7160805,
Masterworks LLC,BILATERAL,7000000,
"UBS AG (Stamford, CT, US, Branch)",BILATERAL,6627129,
GOLDMAN SACHS INDIA SECURITIES,BILATERAL,6475071,
Nasdaq Copenhagen A/s,BILATERAL,6077890,
Macquarie Capital (Europe) Ltd.,BILATERAL,6024694,
Barclays Bank Ireland PLC,BILATERAL,5450000,
Korea Exchange,BILATERAL,5430458,
Wells Fargo Clearing Services LLC,BILATERAL,5321024,
Borsa Istanbul,BILATERAL,5258673,
MIZUHO FINANCIAL GROUP INC,BILATERAL,5120624,
NORDIC COMMODITY EXCHANGE AKTIEBOLAG,BILATERAL,5080598,
C. MACKERTICH PRIVATE LIMITED,BILATERAL,4999892,
BORSA ITALIANA (IDEM),BILATERAL,4907817,
FXC,BILATERAL,4732634,
MIZUHO INTERNATIONAL PLC,BILATERAL,4570270,
UBS GROUP AG,BILATERAL,4416254,
CITIGROUP GLOABL MARKETS INTER,BILATERAL,4295059,
BETA CAPITAL,BILATERAL,4295059,
JP MORGAN CHASE BANK,BILATERAL,3914090,
BANK OF NOVA SCOTIA,BILATERAL,3883885,
DRAX GROUP PLC,BILATERAL,3857976,
STANDARD CHARTERED SECURITIES,BILATERAL,3844778,
CAPITAL MARKETS GROUP,BILATERAL,3781438,
FX Cash,BILATERAL,3609589,
Instinet Europe Ltd.,BILATERAL,3469553,
"NEWEDGE USA, LLC",BILATERAL,3439402,
ADM Investor Services Inc.,BILATERAL,3415276,
"JOH. BERENBERG, GOSSLER & CO. KG",BILATERAL,3043488,
Skandinaviska Enskilda Captive,BILATERAL,2982705,
SGSP (Australia) Assets Pty. Ltd.,BILATERAL,2726411,
CME Group,CCP,2679655,CME Group
ING Baring (U.S.) Capital Markets,BILATERAL,2556048,
BNY Capital Markets,BILATERAL,2397602,
"Citadel Investment Group, LLC",BILATERAL,2340000,
"NATIONAL BANK OF CANADA FINANCIAL, INC.",BILATERAL,2339531,
"CITIGROUP GLOBAL MARKETS, INC.",BILATERAL,2245509,
Toronto Stock Exchange (TMX Group),BILATERAL,2231139,
NatWest Markets Securities,BILATERAL,2069384,
"JPMorgan Securities Japan Co., Ltd.",BILATERAL,2044539,
BANCO SANTANDER S.A,BILATERAL,1954489,
"STANDARD CHARTERED SECURITIES N.A., INC.",BILATERAL,1954206,
LLOYDS BANK PLC,BILATERAL,1902756,
COWEN EXECUTION SERVICES LLC,BILATERAL,1878584,
EUROPEAN ENERGY EXCHANGE AG,BILATERAL,1851951,
TOWER SEMICONDUCTOR,BILATERAL,1845769,
ING BARING (U.S.) CAPITAL MARKETS,BILATERAL,1785000,
Goldman Sachs Trust Company,BILATERAL,1584000,
BNY Mellon NA,BILATERAL,1500000,
NEWEDGE GROUP (UK BRANCH),BILATERAL,1302424,
BNY MELLON NA,BILATERAL,1222314,
"State Street Bank and Trust Company (London, GB, Branch)",BILATERAL,1217452,
CHASE MANHATTAN BANK,BILATERAL,1185000,
BORSA INSTANBUL ANONIM SIRKETI,BILATERAL,1134657,
GOLDMAN SACHS DO BRASIL BANCO MULTI AVEN,BILATERAL,1104179,
"COWEN AND COMPANY, LLC",BILATERAL,1050000,
ROYAL BANK OF SCOTLAND PLC,BILATERAL,994624,
PHILLIP CAPITAL INC.,BILATERAL,982925,
TD Securities,BILATERAL,979537,
UNITED FIRST PARTNERS,BILATERAL,937749,
CSL GROUP INC,BILATERAL,920000,
CREDIT SUISSE,BILATERAL,846000,
BURSA MALAYSIA BERHAD,BILATERAL,829528,
JAPAN EXCHANGE GROUP INC,BILATERAL,799756,
South African Futures Exchange,BILATERAL,687905,
Macquarie,BILATERAL,657876,
"BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION",BILATERAL,622984,
"BM&F Bovespa S.a. - Bolsa De Valores, Mercadorias e Futu",BILATERAL,594287,
KEEFE BRUYETTE & WOODS INC.,BILATERAL,467117,
HONG KONG & SHANGHAI BANK,BILATERAL,448556,
UBS AG STAMFORD,BILATERAL,440520,
NEWEDGE CANADA INC,BILATERAL,410497,
"MORGAN STANLEY BANK, NATIONAL ASSOCIATION",BILATERAL,358000,
Bank of America Merrill Lynch Banco Multiplo S.A.,BILATERAL,247921,
KT Zmico Securities Company Limited,BILATERAL,244322,
DAIWA SECURITIES,BILATERAL,224433,
"BBVA SECURITIES, INC.",BILATERAL,189417,
KEPLER CHEUVREUX,BILATERAL,158424,
J.P. MORGAN SECURITIES LLC,BILATERAL,152612,
J.P. MORGAN MARKETS LIMITED,BILATERAL,150000,
"NORTHERN TRUST SECURITIES, INC.",BILATERAL,148685,
NATWEST MARKETS N.V.,BILATERAL,146899,
ADM Investor Services,BILATERAL,64669,
Tokyo Commodity Exchange,BILATERAL,57921,
Kansas City Board Of Trade,BILATERAL,55650,
BURSA MALAYSIA BHD,BILATERAL,38305,
NOMURA BANK INTERNATIONAL PLC,BILATERAL,30422,
Japan Exchange Group (TSE and OSE),BILATERAL,22740,
CHURCHILL CAPITAL LTD.,BILATERAL,22624,
"ING FINANCIAL MARKETS, LLC",BILATERAL,20239,
Macquarie Investment Management Global Ltd.,BILATERAL,18225,
"BNP Paribas Prime Brokerage, Inc.",BILATERAL,8266,
State Street Trust (HK) Limited,BILATERAL,4065,
"MORGAN STANLEY BANK,N.A.",BILATERAL,71,
ICE Endex Markets B.V.,BILATERAL,15,
BANK OF AMERICA MERRILL LYNCH BANCO MULTIPLO S.A.,BILATERAL,4,
